path	level	type	required	default	constraints	authoring	runtime	obs_debug_gov
sources.<source_id>.fields.<field_id>.$import[*]	nested	string	n/a			Y	N	N
sources.<source_id>.fields.<field_id>.extract	nested	string	optional		minLength=1	Y	N	N
sources.<source_id>.fields.<field_id>.name	nested	string	optional			Y	N	N
sources.<source_id>.fields.<field_id>.relation	nested	union<object|string>	optional			Y	N	N
sources.<source_id>.fields.<field_id>.relation.steps	nested	array	required		minItems=1	Y	N	N
sources.<source_id>.fields.<field_id>.relation.steps[*]	nested	object	n/a		additionalProperties=false	Y	N	N
sources.<source_id>.fields.<field_id>.relation.steps[*].from	nested	union<array|string>	required			Y	N	N
sources.<source_id>.fields.<field_id>.relation.steps[*].from[*]	nested	string	n/a		pattern=^[a-zA-Z_][a-zA-Z0-9_]*\.[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
sources.<source_id>.fields.<field_id>.relation.steps[*].lookup_cast	nested	object	optional		additionalProperties=false	Y	N	N
sources.<source_id>.fields.<field_id>.relation.steps[*].lookup_cast.name	nested	enum<string>	required		enum=auto,int,str,sep_first	Y	N	N
sources.<source_id>.fields.<field_id>.relation.steps[*].lookup_cast.sep	nested	string	optional			Y	N	N
sources.<source_id>.fields.<field_id>.relation.steps[*].to	nested	union<array|string>	required			Y	N	N
sources.<source_id>.fields.<field_id>.relation.steps[*].to[*]	nested	string	n/a		pattern=^[a-zA-Z_][a-zA-Z0-9_]*\.[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
sources.<source_id>.fields.<field_id>.source	nested	string	optional		pattern=^[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
sources.<source_id>.fields.<field_id>.value_cast	nested	enum<string>	optional		enum=auto,int,str,decimal	Y	N	N
sources.<source_id>.key	nested	union<array|string>	conditional			Y	N	N
sources.<source_id>.key[*]	nested	string	n/a		pattern=^[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
sources.<source_id>.loader	nested	string	conditional		minLength=1	Y	N	N
sources.<source_id>.lookup_cast	nested	object	optional		additionalProperties=false	Y	N	N
sources.<source_id>.lookup_cast.name	nested	enum<string>	required		enum=auto,int,str,sep_first	Y	N	N
sources.<source_id>.lookup_cast.sep	nested	string	optional			Y	N	N
sources.<source_id>.lookup_chunk_size	nested	nullable<integer>	optional			Y	N	N
sources.<source_id>.normalize	nested	object	optional		additionalProperties=false	Y	N	N
sources.<source_id>.normalize.call_by	nested	string	optional			Y	N	N
sources.<source_id>.normalize.fields	nested	object	optional		minProperties=1	Y	N	N
sources.<source_id>.normalize.fields.<field_id>	nested	object	n/a		additionalProperties=false	Y	N	N
sources.<source_id>.normalize.fields.<field_id>.extract	nested	string	optional		minLength=1	Y	N	N
sources.<source_id>.normalize.fields.<field_id>.from_key	nested	boolean	optional			Y	N	N
sources.<source_id>.normalize.key_field	nested	string	optional			Y	N	N
sources.<source_id>.normalize.kind	nested	enum	required		enum=index_by_key	Y	N	N
sources.<source_id>.normalize.on_conflict	nested	enum<string>	optional	"error"	enum=error,first,last	Y	N	N
sources.<source_id>.normalize.on_empty	nested	enum<string>	optional	"miss"	enum=miss,null,error	Y	N	N
sources.<source_id>.normalize.on_missing	nested	enum<string>	optional	"error"	enum=error,null	Y	N	N
sources.<source_id>.normalize.steps	nested	array	optional		minItems=1	Y	N	N
sources.<source_id>.normalize.steps[*]	nested	object	n/a		additionalProperties=false	Y	N	N
sources.<source_id>.normalize.steps[*].fields	nested	object	optional		minProperties=1	Y	N	N
sources.<source_id>.normalize.steps[*].fields.<field_id>	nested	object	n/a		additionalProperties=false	Y	N	N
sources.<source_id>.normalize.steps[*].fields.<field_id>.extract	nested	string	optional		minLength=1	Y	N	N
sources.<source_id>.normalize.steps[*].fields.<field_id>.from_key	nested	boolean	optional			Y	N	N
sources.<source_id>.normalize.steps[*].kind	nested	enum	required		enum=take_first	Y	N	N
sources.<source_id>.normalize.steps[*].on_empty	nested	enum<string>	optional	"miss"	enum=miss,null,error	Y	N	N
sources.<source_id>.normalize.steps[*].on_missing	nested	enum<string>	optional	"error"	enum=error,null	Y	N	N
sources.<source_id>.params	nested	object	optional			Y	N	N
sources.<source_id>.params.$import	nested	union<array|string>	optional			Y	N	N
sources.<source_id>.params.$import[*]	nested	string	n/a			Y	N	N
sources.<source_id>.params.<key>	nested	unknown	n/a			Y	N	N
sources.<source_id>.retry	nested	object	optional			Y	Y	N
sources.<source_id>.retry.$import	nested	union<array|string>	optional			Y	Y	N
sources.<source_id>.retry.$import[*]	nested	string	n/a			Y	Y	N
sources.<source_id>.retry.backoff	nested	enum<string>	optional	"exponential"	enum=fixed,exponential	Y	Y	N
sources.<source_id>.retry.base_delay_seconds	nested	unknown	optional	0.2	minimum=0.0	Y	Y	N
sources.<source_id>.retry.enabled	nested	boolean	optional	false		Y	Y	N
sources.<source_id>.retry.jitter	nested	boolean	optional	true		Y	Y	N
sources.<source_id>.retry.max_attempts	nested	integer	optional	3	minimum=1;maximum=5	Y	Y	N
sources.<source_id>.retry.max_delay_seconds	nested	unknown	optional	2.0	minimum=0.0;maximum=5.0	Y	Y	N
sources.<source_id>.retry.max_elapsed_seconds	nested	unknown	optional	10.0	minimum=1e-06;maximum=20.0	Y	Y	N
sources.<source_id>.retry.should_retry	nested	string	optional		minLength=1	Y	Y	N
validate_unique_field_names	top-level	boolean	optional	true		N	Y	Y
